Email,Message,Option,Priority,Uploaded
ter@hh,"Man iet dators","techical support",on,"2024-12-10 09:38:36"
gg@gg,halo,"Select an option",on,"2024-12-10 09:39:32"
h@hh,"I need credit",sale,on,"2024-12-10 09:45:10"
h@hh,"I need credit",sale,on,"2024-12-10 09:45:15"
h@hh,"I need credit",sale,medium,"2024-12-10 09:47:02"
yy@gg,htyjyy,else,medium,"2024-12-10 10:23:50"
kllkii@hh,httggg,sale,low,"2024-12-10 10:23:59"
jyj@hh,"uku 4",else,high,"2024-12-10 10:24:07"
jyjy@htht,"jy 44yrgr",sale,medium,"2024-12-10 10:24:15"
rg@rg,eggge,else,medium,"2024-12-10 10:24:22"
hty@trhsdg,htdg,sale,high,"2024-12-10 10:24:29"
hth@grsdc,rsdgted,"techical support",high,"2024-12-10 10:24:36"
